assetid,event_count,title
347756,560,Джейн берет ружье
1423401,560,Ультиматум Борна
541684,556,Серые волки
462869,556,Ларго Винч: Начало
1535330,554,Остров головорезов
354623,554,Особо опасна
1524374,554,Война Богов: Бессмертные
1517093,553,Ограбление: Код 211
1517044,552,Лондонские поля
1474439,552,Неудержимые 3
2094567,549,Охранник
1497885,548,Геракл: Начало легенды
2224079,543,21 мост UHD HDR
341985,543,Медальон
1125046,543,Максимальный удар
1535276,542,Кин
1473136,539,Бои без правил
346636,539,Раз на раз не приходится
1784130,537,Ускорение
1235660,536,Обитаемый остров: Схватка
1125934,535,Звёздные войны: Последние джедаи
1463876,534,Дикая штучка
344410,530,База «Клейтон»
462381,530,Колония
330815,528,Человек-паук: Злодеи атакуют
2531472,527,Ниндзя из Беверли Хиллз
2031173,524,Шпион по соседству
2057030,521,Спасти рядового Райана
331058,519,Судная ночь 3
300591,516,Мир Юрского периода
1826888,513,Робот 2.0
1517212,511,Обет молчания
1881701,509,"Город грехов 2: Женщина, ради которой стоит убивать"
2103837,500,"Гангстер, коп и дьявол UHD HDR"
491751,499,Робин Гуд
352124,497,Атака титанов. Фильм первый: Жестокий мир
768651,495,Спасатели Малибу (расширенная версия)
792880,490,Армагеддон
1689824,490,Гонщик
2236265,487,Курск UHD HDR
1824365,485,Бриллиантовый полицейский
1497965,484,Большая игра
2551657,484,Поезд в Пусан (Расширенная версия)
2032919,481,Кокаиновый барон
1329729,479,Вызов
1267044,479,Безбашенные
529089,477,Монстр-траки
1281184,474,Хан Соло: Звёздные войны. Истории
580897,472,Человек-паук 2
171106,470,Трансформеры 3: Тёмная сторона Луны
1464425,463,DOOM
2563806,461,Ганц: О — Миссия Осака
1517058,459,Багровая мята
580736,459,Люди в чёрном 3
330514,456,Звёздные войны: Возвращение Джедая
317134,451,Варкрафт
1873340,448,"Красивый, плохой, злой UHD HDR"
1131178,447,Кунг-фу Панда 2
330521,445,Звёздные войны: Империя наносит ответный удар
811712,443,Тёмная башня
580750,443,Вспомнить всё
341705,439,Коломбиана
335783,438,В июне 41-го
1244555,437,Азартные игры
337421,437,Опасный Бангкок
1332060,434,Небоскреб
345789,433,Железный рыцарь
341642,432,Семь психопатов
581348,428,На секретной службе ее Величества
345040,428,Няньки
464702,426,Книга Илая
2236762,426,Дикая Лига
811858,425,Малыш на драйве
333196,424,Тройной форсаж: Токийский дрифт
580463,418,Обитель зла: Последняя глава
1497941,418,Добро пожаловать в рай
2380517,418,Отчаянный
330486,417,Перл Харбор
2162327,417,Капитан семи морей
462687,414,Уцелевший
1276242,414,Скалолаз
1497869,414,Последний рубеж
497130,413,Союзники
1261071,412,Иностранец
344767,410,Загнанный
1501867,409,Агент Джонни Инглиш 3.0
1497637,408,Война
580729,407,Новый Человек-паук
581327,405,"Шпион, который меня любил"
1873329,402,"Красивый, плохой, злой"
330451,400,Железный Человек
1836600,400,Коломбиана
2100381,399,Стриптизёрши UHD HDR
800405,399,Мумия
2057162,399,Стрелок
1833608,396,Потрошители
1258967,395,Эверли
1069822,394,Казино
2549171,393,Смертельная гонка 4: Вне анархии
330738,392,Джон Картер
1483012,390,Параграф 78: Фильм первый
1501990,388,Рэкетир
1817050,386,Братство
337085,385,Криминальная фишка от Генри
1889154,384,Меченосец
1539187,384,Мачете убивает
1797963,383,Случайный шпион
2380605,381,Однажды в Мексике: Отчаянный 2
571353,381,Обитель зла: Возмездие
326410,381,Полтора шпиона
1876328,380,Капкан
333189,380,Двойной Форсаж
795588,380,Из Парижа с любовью
1308916,380,Эскобар
317282,380,Обливион
330381,380,Изгой-Один. Звёздные Войны: Истории
2548163,377,Кибер
541180,376,Алмазы шаха
2082200,369,Невиновен
171026,368,Трансформеры 2: Месть падших
346202,367,Берегись автомобиля
2549387,365,Дрожь земли 5: Кровное родство
461027,364,"Джентльмены, удачи!"
1807651,364,Снегоуборщик UHD
1423520,362,План побега 2
1516953,360,Ограбление века
346342,359,"Частный детектив, или Операция «Кооперация»"
1497701,356,Сестры
2214122,355,Побег из Энсенады
1501998,354,Рэкетир 2
1921744,353,План побега 3
1811660,352,Зелёный Шершень
346524,352,Случай в квадрате 36-80
1482948,350,Детсадовский полицейский
2165178,350,День
1535366,349,Игра Эндера
171514,349,Трансформеры 4: Эпоха истребления
2118326,348,Дельфин Берни 2
2152549,347,Закатать в асфальт UHD
327455,346,Люси
330724,344,Принц Персии: Пески Времени
1805363,343,Снегоуборщик UHD HDR
1133818,343,"Ван Гог. С любовью, Винсент"
571290,343,Два ствола
2043943,342,Налёт грейхаундов
341614,342,Коллекционер 2
1689878,342,Экспат
343938,339,Железный рыцарь 2
2236232,339,Зеркальные войны: Отражение первое
571143,338,Инферно
1659605,337,Охранник
1079544,336,13-й Район: Ультиматум
2067330,336,Легенды: Гробница дракона
2084843,334,Олдбой
348386,333,Анискин и Фантомас
1525740,332,Хантер Киллер
2538511,329,Большое дело
2236012,326,Домино UHD
1482995,326,Параграф 78: Фильм второй
330213,325,Звёздные войны: Месть Ситхов
2551711,325,Город Юрского периода
2388956,324,Опасная миссия UHD HDR
283033,324,Спасти рядового Райана
330220,323,Звёздные войны: Скрытая угроза
2561377,323,Драка в блоке 99
541537,322,"На Дерибасовской хорошая погода, или На Брайтон Бич опять идут дожди"
1797941,321,Другой мир: Пробуждение
330528,318,Тор
1244725,316,Мой любимый динозавр
2070913,315,Голливудские копы
1836097,313,Вымогательство UHD
2393423,312,21 мост UHD
1329358,311,Другие 48 часов
283147,311,Хранители
2098094,310,Вечер с Беверли Лафф Линн
2164135,310,Охотник на зомби
331383,309,Бесславные ублюдки
283123,307,Терминатор: Генезис
562785,306,Дом напротив
563238,306,Контрабанда
2123650,305,Карательница
1833498,303,На гребне волны
494889,302,Небо в алмазах
347399,301,Версия полковника Зорина
346055,297,11:14
571199,297,Другой мир: Войны крови
571311,296,Элизиум: Рай не на Земле
346741,295,Одиночное плавание
2116159,294,Кровью и потом: Анаболики UHD HDR
570937,294,Пиксели
580841,294,Терминатор: Да придёт спаситель
356107,294,Викинг
2064997,293,Безумный куш UHD HDR
2407841,289,Крипто
327530,289,Стартрек: Бесконечность
2560185,288,Гангстеры
352600,286,Настройщик
1314683,282,Конченая
346153,282,Белое солнце пустыни
580855,281,Хэнкок
330164,280,И грянул шторм
547484,280,Акваланги на дне
1133810,279,Монстры против пришельцев
1797919,279,Другой мир: Восстание ликанов
2100458,278,Под подозрением UHD
1497901,277,Неправильные копы
1736484,276,Разборка в Бронксе
1808458,276,Любимый учитель
460495,275,Должник
1244569,273,Воин
346363,273,Холодное лето пятьдесят третьего
332669,272,Судная ночь 2
1462222,271,Кодекс Готти
2571263,271,Дверной замок
330318,269,Need For Speed: Жажда скорости
2549279,268,Трудная мишень 2
815644,267,Мулан 2
2044428,267,Валериан и город тысячи планет
541446,266,Исповедь содержанки
345810,266,Самый пьяный округ в мире
351249,265,Ночной патруль
343007,265,Железное небо
2235734,264,Цензор UHD HDR
1484292,262,Ограбление: Код 211
2143429,262,Возмездие
2235935,262,Время ведьм UHD
1699225,259,Точка возврата
2556778,259,Шутки в сторону
330556,259,Атлантида: Затерянный мир
787573,258,Киллер поневоле
2100370,258,Падение ангела UHD HDR
2388936,257,"Поймай меня, если сможешь"
487900,257,Парк Юрского периода 3
350577,256,Виктор
251110,256,Война миров
2405701,255,Воскресенье UHD HDR
792915,255,Хроники Нарнии: Принц Каспиан
346517,254,Смелые люди
2068694,254,Пятый элемент
343812,254,Восьмерка
1535339,253,Шанхайский перевозчик
497501,253,Кинг Конг
339353,252,Сицилианская защита
1799637,251,Робот 2.0
571584,251,Люди в чёрном
338177,251,Дело Румянцева
1802579,249,"Дом, который построил Джек"
2132049,249,Время смерти
171017,248,Трансформеры
284525,247,Стартрек: Возмездие
2137908,246,Время ведьм UHD HDR
345551,244,Игра Эндера
1280561,243,Опасное задание
571332,243,Мачо и ботан
1267016,243,Французский транзит
2043866,243,Не попадись
344487,242,Бэйтаун вне закона
2540936,242,Лицо со шрамом
1244618,240,Отряд особого назначения
2053920,240,Царство
1463892,239,Страховщик
283132,239,Звездный путь
1778691,238,Гудзонский ястреб
2148145,238,Коломбиана UHD HDR
1261085,238,Дикий
337449,237,Поезд на Юму
1334118,235,8 миля
336735,233,Пираты ХХ века
345866,230,Агент под прикрытием
795630,230,Пипец
347560,228,Асса
2164113,227,На цепи
1497669,227,Олигарх
571276,227,Ярость
462582,223,Пластик
2041145,222,Я объявляю вам войну
1689851,219,Поле битвы: Земля
1704661,219,Звонок мертвецу
1482932,219,Уцелевшая
2068397,218,Беглецы
346412,218,Тревожное воскресенье
347588,218,Александр Невский
346762,217,Неуловимые мстители
1482706,217,Расправа
2214177,217,Пять тысяч
1873351,216,"Красивый, плохой, злой UHD"
792971,216,Дежавю
576601,216,Джентльмен грабитель
2229313,214,Железная сотня
2405411,213,Всегда верен
1156034,213,Новый мир
344344,213,Монтана
335223,212,Пирамммида
327736,210,47 ронинов
2540747,210,Совместная поездка
2405751,209,Курск UHD
1500081,209,"Девушка, которая застряла в паутине"
1322447,209,Операция «Шаровая молния» UHD
1517304,209,Фобия
356191,208,Игры на выживание
337064,208,Шпион по соседству
580757,208,Другой мир: Пробуждение
2056997,208,Миссия: невыполнима 3
2402675,207,Даже не думай!
541285,206,Воры в законе
171699,204,На крючке
302563,203,13 часов: Тайные солдаты Бенгази
2393324,202,Помпеи UHD
343210,202,Охотники за головами
793125,201,Одинокий Рейнджер
2068595,201,Невезучие
2235913,201,Игра Ганнибала UHD
2561674,201,Меркурий в опасности
345873,200,Соломон Кейн
345075,200,Охотники за разумом
2098984,200,Книга Илая UHD HDR
351998,200,Три девятки
572465,200,Одиночка
2156927,199,Кровью и потом: Анаболики UHD
345173,199,По прозвищу «Чистильщик»
2536193,198,Клуб анонимных киллеров UHD HDR
1788651,198,Коррупционер
340683,198,Рэмбо IV
557147,197,Законопослушный гражданин
1300133,197,Коллекторы
1780441,196,Короткие волны
2561719,195,Дикая река
2214100,194,Списанный в резерв
812727,194,Секретный агент
2545310,193,Спящие
2536215,193,Балканский рубеж UHD HDR
2103683,193,Стриптизёрши UHD
1666106,192,Хантер Киллер UHD
338114,191,Два билета на дневной сеанс
344204,191,Воздушный маршал
1784053,188,Неудержимый
348610,187,Скорость: Автобус 657
2057008,186,Миссия: невыполнима 2
2549434,186,Обратная связь
341698,185,"Кожа, в которой я живу"
2405801,184,Эшер UHD
1517339,184,Выжившая
2111251,184,Дельфин Берни UHD HDR
342279,182,Оборотень
1276298,181,Фар Край
2093587,181,24 часа на жизнь UHD HDR
2389398,180,Коломбиана UHD
337631,180,Убийства в Оксфорде
2566543,179,Окончательный приговор
2408417,179,Гена-Бетон
1794230,179,Спартанец
580806,177,Копы в глубоком запасе
1307276,177,Свинья
1681311,176,Бронсон
1783998,176,Старски и Хатч
339416,176,Пацаны
1821590,175,Безбашенная пуля
2384534,175,Дельфин Берни UHD
346755,174,Новые приключения неуловимых
462701,174,Сутенер
541320,172,День любви
1681464,172,"Я, Франкенштейн"
2214276,172,Ходячий призрак
1515950,171,Ловушка времени
571416,171,Район №9
347105,170,Загадка Эндхауза
1280750,169,Вторжение
349856,169,Шестой
1122261,169,Избежать расплаты
1267009,169,Уцелевший
283168,169,Солдаты неудачи
462045,168,Доспехи Бога 3: Миссия Зодиак
576690,168,Похищение Фредди Хайнекена
463786,168,Механик
1824518,167,Во имя спасения
2214111,166,Шах и мат
1497853,165,13-й район: Кирпичные особняки
1155999,164,Безымянный гангстер
548506,163,Инспектор уголовного розыска
330206,163,Звёздные войны: Атака клонов
2056942,163,Джек Ричер
340858,162,Пленный
171636,162,Миссия невыполнима 2
330682,162,Звёздные войны: Войны клонов
346181,161,"Свой среди чужих, чужой среди своих"
349142,161,Непобедимый
317291,159,Невероятный Халк
312130,159,Белоснежка и Охотник 2
475772,159,Джек Ричер 2: Никогда не возвращайся
347343,159,Возвращение «Святого Луки»
1264359,159,Ограбление в ураган
336392,159,Из жизни начальника уголовного розыска
2540801,159,Миссия в Майами
1470600,159,Операция «Шаровая молния» UHD HDR
337092,158,Альфа Дог
2402939,158,Военное государство
1852123,157,Цензор
2098995,156,Однажды в Стокгольме UHD HDR
